,BRO,CAV ,CAZ ,COL   ,DRA ,FON ,GUT ,ILO,INA ,AHI,LAI ,LIL,LOC ,NIE1,NIE2,PAN ,PED ,POE ,REN ,SER,SUW ,VIG ,VIN ,WIN,WOB 
BRO,1.0,0.15084739040681178,0.06730950270928386,0.01845040023561092,0.15607648220238354,-0.10459359036247087,0.5040017394022097,0.23159294756363472,0.15915784289657955,,0.12744411079961976,0.09384813339341438,0.3748568157882382,-0.06820518539307402,0.1472047372869929,0.4600061099169587,0.028061912984091747,0.12261948882654308,0.19820324318242133,0.046947735700476514,0.31789628162395167,0.2763069747978807,0.01085170088813574,0.31109814141237996,0.3191854707154431
CAV ,0.15084739040681178,1.0,-0.07665743635975134,-0.11027531172136677,-0.011561796083400208,0.09506588186989708,-0.01569301559719563,-0.056799104220089165,0.0013335591674691002,-0.08854902472428541,0.06617325006515205,-0.04683459642785586,0.041791533695441155,-0.08724227614102043,0.06725598719961924,0.06573590423457475,-0.013342327290578304,-0.10293919794403864,-0.14529607975291287,-0.06462471959947472,-0.20228662272182205,-0.017696716573358195,0.1584256968023712,0.1680714796079046,0.3184792405185198
CAZ ,0.06730950270928386,-0.07665743635975134,1.0,0.09831631650697176,0.3784941697415663,0.28351051352420353,0.4334745546867038,0.71242848021787,0.4333203682953112,0.11524489922617975,0.4225411843433132,0.5829656671147821,0.3352428053252307,0.5594893965162842,0.533666147927513,0.28378131703631215,0.6489154091625011,0.6086255329557116,0.6638241937876111,0.7012751723523963,0.4725565279558201,0.6565614479342597,0.7363977755113938,0.12869324213583477,-0.31747073400378123
COL   ,0.01845040023561092,-0.11027531172136677,0.09831631650697176,1.0,-0.005110209232634981,0.04020850790575761,0.048720290780590904,0.09185416692052976,0.04365999507788998,0.08437804845721698,0.07829119003087427,0.07712618754132788,0.023195873128736014,0.0841800399686302,0.0048223124964157415,0.027555992008629484,0.054785569593664624,0.05463837713930982,0.04874830008063386,0.026485509801980996,0.07552049174834383,0.076249438249887,0.021540582249151428,-0.02109926903030184,0.008022959725999321
DRA ,0.15607648220238354,-0.011561796083400208,0.3784941697415663,-0.005110209232634981,1.0,0.28875130917066805,0.27285158615115596,0.4066761053863005,0.2865976330706946,0.013588093291433512,0.3991311942818214,0.2856541615244869,0.26239921958635526,0.2976544121937498,0.31870673940654376,0.3455480989433975,0.24012865775645784,0.35063663064439754,0.34194045094802467,0.3298348201679334,0.1704841721689727,0.38433623276132906,0.44448770107514274,0.2750778050734568,0.10129721203441916
FON ,-0.10459359036247087,0.09506588186989708,0.28351051352420353,0.04020850790575761,0.28875130917066805,1.0,0.22884877305233808,0.3147691038868564,0.08014864926426533,-0.03532529703833545,0.3032661335136743,0.27225469068553954,0.17734495650699636,0.1936238776849859,0.1878315655548456,0.1013231168642869,0.27432865783310173,0.263435552274062,0.23917553914707182,0.2553915638245523,0.1406898932283802,0.2760358997531063,0.23648777081423886,0.04107757025986774,-0.030150932507424656
GUT ,0.5040017394022097,-0.01569301559719563,0.4334745546867038,0.048720290780590904,0.27285158615115596,0.22884877305233808,1.0,0.6309854739307326,0.33611859200422106,0.0646894947680646,0.4276547866415839,0.34475660629929156,0.4410914367882567,0.42608135045407314,0.40017819228344875,0.5233194679468286,0.3161054682675433,0.4119032804592139,0.45204875186944815,0.42929515274180857,0.36428802659507414,0.4455536796417415,0.32415913715987993,0.2428268130423896,-0.10616307184903888
ILO,0.23159294756363472,-0.056799104220089165,0.71242848021787,0.09185416692052976,0.4066761053863005,0.3147691038868564,0.6309854739307326,1.0,0.501421526340705,0.08525806031141936,0.4649557956952243,0.47756438884535185,0.44718031471481073,0.517233749570175,0.5688656424385929,0.4817179867245033,0.5412863077559301,0.550974147961675,0.6851619104673583,0.6852441218878768,0.5522193575584099,0.6263257872880484,0.6845777040815806,0.14801175804101177,-0.2567327193915891
INA ,0.15915784289657955,0.0013335591674691002,0.4333203682953112,0.04365999507788998,0.2865976330706946,0.08014864926426533,0.33611859200422106,0.501421526340705,1.0,-0.21404601376134302,0.2858113961086394,0.12003457711173685,0.30134341513633006,0.17461451493531016,0.390414006829213,0.3544997903118243,0.18840079961611092,0.3293252910560797,0.20237385869678146,0.36244781074904603,0.16608451420566778,0.26747585793103923,0.6564107096720423,0.10073178820094757,-0.19552017747826175
AHI,,-0.08854902472428541,0.11524489922617975,0.08437804845721698,0.013588093291433512,-0.03532529703833545,0.0646894947680646,0.08525806031141936,-0.21404601376134302,1.0,0.06959912090610014,0.1294262931930318,0.01414183625021028,0.2412902245210866,0.04367942469418331,0.14675252702627942,0.1314751350210253,0.2116031778308825,0.385738512578982,0.10993170753389522,0.31084271541403735,0.24584486078320789,0.31503033119036417,0.396365541296325,0.08220565025804001
LAI ,0.12744411079961976,0.06617325006515205,0.4225411843433132,0.07829119003087427,0.3991311942818214,0.3032661335136743,0.4276547866415839,0.4649557956952243,0.2858113961086394,0.06959912090610014,1.0,0.32477595297429557,0.23376625911704507,0.39856599133866016,0.34300034824866116,0.2944215490531706,0.3057648846081252,0.407315489721998,0.3724778805843697,0.43728044744702754,0.20957346586578965,0.48641506980374527,0.33242537848734705,0.20109762813077992,-0.04705261342996523
LIL,0.09384813339341438,-0.04683459642785586,0.5829656671147821,0.07712618754132788,0.2856541615244869,0.27225469068553954,0.34475660629929156,0.47756438884535185,0.12003457711173685,0.1294262931930318,0.32477595297429557,1.0,0.25874703205104027,0.4663879577188779,0.2902873864774384,0.23307599029205708,0.5901684089529788,0.45290631335577625,0.5691902587519184,0.49103188292748795,0.42433117746136434,0.556179977708249,0.47388146409252024,0.1965410902686071,-0.16735786785954518
LOC ,0.3748568157882382,0.041791533695441155,0.3352428053252307,0.023195873128736014,0.26239921958635526,0.17734495650699636,0.4410914367882567,0.44718031471481073,0.30134341513633006,0.01414183625021028,0.23376625911704507,0.25874703205104027,1.0,0.2049263079965958,0.24445299702218917,0.27141777099746345,0.2300237048406776,0.27705674500439514,0.4230504687882708,0.22901228737383683,0.39185280553003266,0.3527966603492911,0.3059779024310586,0.16252313613959976,0.055948750896428485
NIE1,-0.06820518539307402,-0.08724227614102043,0.5594893965162842,0.0841800399686302,0.2976544121937498,0.1936238776849859,0.42608135045407314,0.517233749570175,0.17461451493531016,0.2412902245210866,0.39856599133866016,0.4663879577188779,0.2049263079965958,1.0,0.3681552386617751,0.21482671913139822,0.4976987817773262,0.5234188598567586,0.5616995228712416,0.5309629705507799,0.4446130431629993,0.5719656975725987,0.20810236690212522,0.30771847878734376,-0.2546552488352834
NIE2,0.1472047372869929,0.06725598719961924,0.533666147927513,0.0048223124964157415,0.31870673940654376,0.1878315655548456,0.40017819228344875,0.5688656424385929,0.390414006829213,0.04367942469418331,0.34300034824866116,0.2902873864774384,0.24445299702218917,0.3681552386617751,1.0,0.34662247344798847,0.4418342236335863,0.4304587069806179,0.34901170644805973,0.5365344820203385,0.32106619030839323,0.40198636592798137,0.6846732515406537,0.19460877292284204,0.002021733733372624
PAN ,0.4600061099169587,0.06573590423457475,0.28378131703631215,0.027555992008629484,0.3455480989433975,0.1013231168642869,0.5233194679468286,0.4817179867245033,0.3544997903118243,0.14675252702627942,0.2944215490531706,0.23307599029205708,0.27141777099746345,0.21482671913139822,0.34662247344798847,1.0,0.13017217766971584,0.4135208953534122,0.29627168516120994,0.24019522689879208,0.45269982781945406,0.3967449541703555,0.12719698931488857,0.27024628617127505,0.1091147284541645
PED ,0.028061912984091747,-0.013342327290578304,0.6489154091625011,0.054785569593664624,0.24012865775645784,0.27432865783310173,0.3161054682675433,0.5412863077559301,0.18840079961611092,0.1314751350210253,0.3057648846081252,0.5901684089529788,0.2300237048406776,0.4976987817773262,0.4418342236335863,0.13017217766971584,1.0,0.472314843431245,0.5937708748842534,0.6151090113336042,0.3778633589476686,0.6148797486545285,0.6787167557777346,0.07829324743661784,-0.18939299074042662
POE ,0.12261948882654308,-0.10293919794403864,0.6086255329557116,0.05463837713930982,0.35063663064439754,0.263435552274062,0.4119032804592139,0.550974147961675,0.3293252910560797,0.2116031778308825,0.407315489721998,0.45290631335577625,0.27705674500439514,0.5234188598567586,0.4304587069806179,0.4135208953534122,0.472314843431245,1.0,0.6105333917940706,0.5838971174099316,0.4416877307085786,0.5033804086825632,0.5342441773288962,0.2938867430631341,-0.20796419389055898
REN ,0.19820324318242133,-0.14529607975291287,0.6638241937876111,0.04874830008063386,0.34194045094802467,0.23917553914707182,0.45204875186944815,0.6851619104673583,0.20237385869678146,0.385738512578982,0.3724778805843697,0.5691902587519184,0.4230504687882708,0.5616995228712416,0.34901170644805973,0.29627168516120994,0.5937708748842534,0.6105333917940706,1.0,0.6124735228521574,0.6198953935263143,0.695621008550021,0.5833339683772621,0.24947591496533705,-0.2508423297492275
SER,0.046947735700476514,-0.06462471959947472,0.7012751723523963,0.026485509801980996,0.3298348201679334,0.2553915638245523,0.42929515274180857,0.6852441218878768,0.36244781074904603,0.10993170753389522,0.43728044744702754,0.49103188292748795,0.22901228737383683,0.5309629705507799,0.5365344820203385,0.24019522689879208,0.6151090113336042,0.5838971174099316,0.6124735228521574,1.0,0.35534341753175563,0.5911939213025267,0.7674278524059139,0.1036250673510587,-0.2759651309860592
SUW ,0.31789628162395167,-0.20228662272182205,0.4725565279558201,0.07552049174834383,0.1704841721689727,0.1406898932283802,0.36428802659507414,0.5522193575584099,0.16608451420566778,0.31084271541403735,0.20957346586578965,0.42433117746136434,0.39185280553003266,0.4446130431629993,0.32106619030839323,0.45269982781945406,0.3778633589476686,0.4416877307085786,0.6198953935263143,0.35534341753175563,1.0,0.5426682693927766,0.13453798980551,0.1595760558087862,-0.2902844490403575
VIG ,0.2763069747978807,-0.017696716573358195,0.6565614479342597,0.076249438249887,0.38433623276132906,0.2760358997531063,0.4455536796417415,0.6263257872880484,0.26747585793103923,0.24584486078320789,0.48641506980374527,0.556179977708249,0.3527966603492911,0.5719656975725987,0.40198636592798137,0.3967449541703555,0.6148797486545285,0.5033804086825632,0.695621008550021,0.5911939213025267,0.5426682693927766,1.0,0.3313945710296208,0.2861131956120342,-0.23417911861410695
VIN ,0.01085170088813574,0.1584256968023712,0.7363977755113938,0.021540582249151428,0.44448770107514274,0.23648777081423886,0.32415913715987993,0.6845777040815806,0.6564107096720423,0.31503033119036417,0.33242537848734705,0.47388146409252024,0.3059779024310586,0.20810236690212522,0.6846732515406537,0.12719698931488857,0.6787167557777346,0.5342441773288962,0.5833339683772621,0.7674278524059139,0.13453798980551,0.3313945710296208,1.0,0.024744830598891508,0.047248428903543284
WIN,0.31109814141237996,0.1680714796079046,0.12869324213583477,-0.02109926903030184,0.2750778050734568,0.04107757025986774,0.2428268130423896,0.14801175804101177,0.10073178820094757,0.396365541296325,0.20109762813077992,0.1965410902686071,0.16252313613959976,0.30771847878734376,0.19460877292284204,0.27024628617127505,0.07829324743661784,0.2938867430631341,0.24947591496533705,0.1036250673510587,0.1595760558087862,0.2861131956120342,0.024744830598891508,1.0,0.3368001578383551
WOB ,0.3191854707154431,0.3184792405185198,-0.31747073400378123,0.008022959725999321,0.10129721203441916,-0.030150932507424656,-0.10616307184903888,-0.2567327193915891,-0.19552017747826175,0.08220565025804001,-0.04705261342996523,-0.16735786785954518,0.055948750896428485,-0.2546552488352834,0.002021733733372624,0.1091147284541645,-0.18939299074042662,-0.20796419389055898,-0.2508423297492275,-0.2759651309860592,-0.2902844490403575,-0.23417911861410695,0.047248428903543284,0.3368001578383551,1.0
